,cigever,cigtry,cigyfu,cig30av,cigage,alcever,alctry,alcyfu,aldaypwk,mjever,mjage,mjyfu,mrdaypwk,snfamjev,lsd,psilcy,dmtamtfxy,salviadiv,lsdage,lsdyfu,abusealc,abusemrj,dstngd30,suicthnk,yodprev,yowrage,yowrdbtr,yowrsthk,year,irpinc3,catag6,health,irwrkstat,ireduhighst2,newrace2,irsex,snrlgimp
12580,1,20,9999,93,999,1,14,9999,7,1,15,9999,93,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,4,3,4,9,7,1,4
12581,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,2,99,1,1,2,99
12582,1,18,2018,3,18,1,14,9999,2,1,14,9999,6,1,1,1,2,1,18,2018,0,0,3,2,99,999,99,99,2019,1,2,3,1,9,6,2,4
12583,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,3,99,3,7,1,99
12584,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,1,1,1,99,3,1,1,99
12585,2,991,9991,91,991,1,14,9999,99,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,17,1,2,2019,1,1,1,4,7,1,2,99
12586,1,14,9999,93,20,1,20,9999,3,1,13,9999,93,1,2,2,2,2,991,9991,0,0,4,2,99,999,99,99,2019,7,4,2,1,11,1,2,1
12587,2,991,9991,91,991,1,20,9999,1,2,991,9991,91,1,91,91,91,91,991,9991,0,0,97,97,99,999,99,99,2019,1,5,3,1,8,5,2,3
12588,1,12,9999,7,16,1,12,9999,5,1,12,9999,93,1,91,91,91,91,991,9991,0,0,2,1,99,999,99,99,2019,1,4,3,3,8,1,1,1
12589,1,16,9999,93,999,1,18,9999,2,1,15,9999,99,3,91,91,91,91,991,9991,0,0,1,2,99,999,99,99,2019,1,2,1,2,6,7,2,4
12590,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,99,3,1,2,99
12591,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,11,1,1,2019,1,1,1,99,2,2,2,99
12592,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,99,91,91,91,91,991,9991,0,0,99,99,1,999,99,99,2019,1,1,2,99,3,1,1,99
12593,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,2,1,2,10,1,2,2
12594,1,994,9994,93,997,2,991,9991,91,1,994,9994,98,1,91,91,91,91,991,9991,0,0,1,2,99,999,99,99,2019,6,4,2,1,8,2,1,4
12595,1,14,9999,93,999,1,13,9999,99,1,15,9999,99,1,91,91,91,91,991,9991,1,0,5,2,99,999,99,99,2019,1,2,4,2,9,1,2,3
12596,1,6,9999,3,18,1,17,9999,99,1,14,9999,93,1,1,1,2,2,20,9999,0,0,2,1,99,999,99,99,2019,3,2,3,1,9,1,2,1
12597,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,3,3,4,1,7,2,3
12598,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,97,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,2,2,3,1,8,7,2,97
12599,1,10,9999,3,10,1,13,9999,93,1,14,9985,98,99,91,91,91,91,991,9991,0,0,99,99,2,999,99,99,2019,2,1,3,4,3,1,2,99
12600,2,991,9991,91,991,1,20,9999,99,2,991,9991,91,2,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,7,5,2,1,11,1,1,1
12601,1,18,9999,93,18,1,21,9999,99,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,2,5,4,4,9,1,2,1
12602,1,12,9999,93,999,1,18,9999,3,1,16,9999,99,1,1,2,2,2,21,9999,0,0,5,2,99,999,99,99,2019,3,2,2,1,11,1,1,1
12603,1,18,2017,93,999,1,16,9999,99,1,17,9999,3,1,91,91,91,91,991,9991,0,0,4,2,99,999,99,99,2019,1,2,1,3,8,1,1,1
12604,2,991,9991,91,991,2,991,9991,91,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,2,3,1,9,7,2,4
12605,1,11,9999,93,12,1,14,9999,93,2,991,9991,91,3,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,3,6,1,4,11,1,1,1
12606,1,16,9999,4,17,1,19,9999,99,1,16,9999,7,1,1,1,2,2,18,9999,0,0,1,2,99,999,99,99,2019,3,2,2,3,7,1,2,1
12607,1,20,9999,93,20,1,20,9999,3,2,991,9991,91,1,91,91,91,91,991,9991,0,0,5,2,99,999,99,99,2019,1,4,3,2,8,5,2,1
12608,1,14,9999,3,999,1,14,9999,3,1,15,9999,99,1,2,1,1,1,991,9991,0,0,4,2,99,999,99,99,2019,7,3,2,1,11,1,1,1
12609,1,15,2019,1,999,1,15,2018,93,1,16,2019,99,99,91,91,91,91,991,9991,0,0,99,99,1,16,1,1,2019,1,1,2,4,6,1,1,99
